,mu,std
M_Tb,286.46849664995557,205.70255368669342
minDeltaPhi12,1.8312039363512753,0.9634949282236526
deltaPhij1,2.7475878549555164,0.45214686394695563
deltaPhij2,1.9469768148031439,1.0037749278140198
deltaPhij3,1.8232126884556954,0.9656753702428987
deltaPhib1,1.9783868828022155,1.0182474322967008
MET_pt,332.95321323282576,96.64918634273486
MET_phi,0.03559508445398772,1.7813100297175755
njets,4.285147058823529,1.2675300119976491
nbjets,1.4264705882352942,0.576913095468642
nfjets,0.46404411764705883,0.6398769167909142
